,anger,disgust,fear,joy,neutral,sadness,surprise
FLAVIUS,0.3151409924030304,0.09215530008077621,0.1850508153438568,0.029078824445605278,0.2348497211933136,0.12961047887802124,0.014113809913396835
MARULLUS,0.3586874045431614,0.05134358908981085,0.4465163853019476,0.02277756156399846,0.039910661056637764,0.0423049321398139,0.03845937107689679
CAESAR,0.16205113061836787,0.09137814774710153,0.5157941915094852,0.027321263540735736,0.09255047242290207,0.09693580154063446,0.013968987140937575
CASCA,0.30800398548931945,0.20577728119678795,0.34754712267645765,0.0056598765409684604,0.05914038260068212,0.049970396395240514,0.023900923319160938
CALPURNIA,0.007871240843087435,0.003296497045084834,0.9669855535030365,0.001419608190190047,0.012019852874800563,0.005073393112979829,0.0033338433713652194
ANTONY,0.35797386191894903,0.11779999405638698,0.24305000890265493,0.007610809951609767,0.08584979551789515,0.16627461482387254,0.02144092250177089
BRUTUS,0.33781871765515664,0.06956112756031668,0.1982783820712939,0.028115636499326985,0.09327813594912489,0.260526823623675,0.012421177565960938
CASSIUS,0.21191196067509457,0.06393927603046624,0.5091368790644293,0.016545609295672666,0.09544799565516698,0.08920988522899839,0.013808402908930125
CICERO,0.0301857627928257,0.009006192907691002,0.8662406802177429,0.0015141392359510064,0.026555238291621208,0.010741597972810268,0.05575628578662872
CINNA,0.0038718190044164658,0.001171393902041018,0.9680827260017395,0.006538971792906523,0.011381765827536583,0.00242802407592535,0.006525459699332714
LUCIUS,0.15556801110506058,0.5498837828636169,0.05806682072579861,0.0035968634765595198,0.10628828406333923,0.0722803883254528,0.054315898567438126
DECIUS BRUTUS,0.03876240458339453,0.4139593462459743,0.4426237475126982,0.02227070601657033,0.05391537956893444,0.02316656056791544,0.0053018429316580296
METELLUS CIMBER,0.028076792135834694,0.035141583532094955,0.031643882393836975,0.081050343811512,0.3174491226673126,0.20247142016887665,0.30416688323020935
TREBONIUS,0.043791450560092926,0.002501432318240404,0.7739952206611633,0.016213571652770042,0.05431390181183815,0.006316212471574545,0.10286816954612732
PORTIA,0.30026775449514387,0.13094892762601376,0.2625519812107086,0.007181767001748085,0.17795658027753233,0.08842200040817261,0.03267099037766456
LIGARIUS,0.3302295506000519,0.34122234582901,0.22065305709838867,0.004501607269048691,0.042859531939029694,0.055211227387189865,0.005322764161974192
PUBLIUS,0.3528004288673401,0.34846603870391846,0.00833656545728445,0.004236432258039713,0.20235346257686615,0.07953812927007675,0.004268966615200043
ARTEMIDORUS,0.9240286350250244,0.018210893496870995,0.03925618156790733,0.0008522179559804499,0.008651824668049812,0.0077816760167479515,0.00121858692727983
POPILIUS,0.0033428221940994263,0.005875862203538418,0.003824931336566806,0.2739131450653076,0.5156911015510559,0.16951973736286163,0.0278323981910944
CINNA THE POET,0.007770749274641275,0.012981787323951721,0.05544727295637131,0.021180534735322,0.592448890209198,0.24255678057670593,0.06761392951011658
OCTAVIUS,0.5624699145555496,0.02933032251894474,0.34422341734170914,0.003611202584579587,0.03568207286298275,0.021837017964571714,0.0028460363391786814
LEPIDUS,0.054351188242435455,0.05382414162158966,0.10569815337657928,0.009430604055523872,0.6680173873901367,0.06533265858888626,0.043345894664525986
LUCILIUS,0.45133349299430847,0.06602399051189423,0.14242781698703766,0.04759795963764191,0.253773033618927,0.023176373913884163,0.01566733419895172
PINDARUS,0.2869606912136078,0.054593417793512344,0.012914195656776428,0.3100211024284363,0.2652199864387512,0.02862686850130558,0.04166373610496521
MESSALA,0.02550818072631955,0.11290388880297542,0.1116064207162708,0.0026762353954836726,0.09750757925212383,0.4849911965429783,0.16480643628165126
TITINIUS,0.30124885961413383,0.06238885037600994,0.13766028732061386,0.015870338305830956,0.15571580082178116,0.2925859969109297,0.03452983032912016
VARRO,0.3231959939002991,0.18887028098106384,0.12330986559391022,0.0070160566829144955,0.09525348991155624,0.03262658044695854,0.22972777485847473
GHOST,0.3981699049472809,0.33541789650917053,0.20812515914440155,0.005800665821880102,0.012941631488502026,0.03742519021034241,0.002119544195011258
CLAUDIUS,0.04160095006227493,0.14964202046394348,0.012047753669321537,0.0026816215831786394,0.04503101482987404,0.013995117507874966,0.7350015640258789
CATO,0.8263627290725708,0.08420784771442413,0.03349316865205765,0.005340552888810635,0.014107069931924343,0.022135697305202484,0.014353026635944843
CLITUS,0.818211019039154,0.07294441014528275,0.026147013530135155,0.0013980289222672582,0.018802588805556297,0.05630812421441078,0.0061887651681900024
DARDANIUS,0.620060920715332,0.30647966265678406,0.0361262746155262,0.0022843615151941776,0.010713614523410797,0.013952094130218029,0.010383178479969501
VOLUMNIUS,0.0747070237994194,0.3154653012752533,0.0054892185144126415,0.0036170827224850655,0.2870308756828308,0.018455134704709053,0.29523542523384094
STRATO,0.4561971127986908,0.08099842816591263,0.06987134367227554,0.01670941524207592,0.34262701869010925,0.030062399804592133,0.0035342189949005842
