,anger,disgust,fear,joy,neutral,sadness,surprise
FLAVIUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARULLUS,0.09483339597545061,0.0007839431493456015,0.17189871545273103,0.00023344209711508392,6.409390291315167e-05,0.0004988659272278382,0.0010914697134563945
CAESAR,0.02534304042136318,0.015752046740687295,0.1306630002746567,0.0008625908315732946,0.00994055941077966,0.009984391582401705,0.0001395476754105564
CASCA,0.06497473378483205,0.05404887570505509,0.15894202197248825,1.5441276234845856e-05,0.0016199576375223808,0.002143513315053805,0.0021570016641263142
CALPURNIA,6.5720017933432965e-06,2.1898400105031476e-06,1.9291466424320447e-06,1.40459857615107e-07,2.9143118612789053e-05,1.951856981323086e-06,3.0204680480870075e-06
ANTONY,0.0851871797695819,0.015657722422659483,0.12055724332654635,8.114778904403198e-05,0.011901489391018627,0.07746323019902424,0.0016836212457776614
BRUTUS,0.10939083101339876,0.005214927328072819,0.09819432686747327,0.005422000166416783,0.009994240570319465,0.08928589624680523,0.00033223500648809213
CASSIUS,0.06785576593265309,0.005725916323572219,0.1597478575995854,0.002119775342700729,0.026678032704664564,0.028597944432328277,0.0001728565349415023
CICERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CINNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUCIUS,0.00027066265052161365,0.00036199477348475284,7.48257933505872e-06,8.38876438522527e-08,4.9088796395813095e-05,0.0003502550513124897,0.00014889803769958798
DECIUS BRUTUS,0.00047959315530040573,0.1655009420649158,0.1635816235577056,0.0003219688273130817,0.00013222384747527474,1.7323201646914956e-05,1.0297411590642902e-06
METELLUS CIMBER,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TREBONIUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PORTIA,0.1052430117635198,0.022812910907587254,0.049913071860060054,1.896320373989839e-05,0.06840960091341368,0.007656349321889117,0.0006258090558320976
LIGARIUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUBLIUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTEMIDORUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POPILIUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CINNA THE POET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCTAVIUS,0.09723904493955104,6.800344201352351e-05,0.09033467741688256,3.1511907883433055e-09,2.481943531754474e-05,0.00019311093252524802,4.88158378503115e-07
LEPIDUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUCILIUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PINDARUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSALA,0.0004460915438188435,0.011797940140325276,0.01136273079962408,2.905227889331551e-07,0.0060235091424314414,0.21518227541990065,0.022641178366670876
TITINIUS,0.038186909193107646,0.000716470424183633,0.006008983909682242,7.872174934142606e-06,0.00010886388230885169,0.05844990899915936,0.00014470312810405204
VARRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHOST,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLAUDIUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CATO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLITUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARDANIUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOLUMNIUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRATO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
